Pavarde             Vardas              Galutinis (med.)
Pavarde3853         Vardas3853          4.2            
Pavarde3854         Vardas3854          5.4            
Pavarde3855         Vardas3855          5              
Pavarde3856         Vardas3856          5              
Pavarde3857         Vardas3857          4.8            
Pavarde3858         Vardas3858          5.8            
Pavarde3859         Vardas3859          3.8            
Pavarde386          Vardas386           4.2            
Pavarde3860         Vardas3860          6.4            
Pavarde3861         Vardas3861          7.6            
Pavarde3862         Vardas3862          7.4            
Pavarde3863         Vardas3863          2.6            
Pavarde3864         Vardas3864          7              
Pavarde3865         Vardas3865          5.8            
Pavarde3866         Vardas3866          4.8            
Pavarde3867         Vardas3867          2.2            
Pavarde3868         Vardas3868          4.4            
Pavarde3869         Vardas3869          5              
Pavarde387          Vardas387           8              
Pavarde3870         Vardas3870          6.8            
Pavarde3871         Vardas3871          4.2            
Pavarde3872         Vardas3872          4.8            
Pavarde3873         Vardas3873          2.4            
Pavarde3874         Vardas3874          3.8            
Pavarde3875         Vardas3875          7.2            
Pavarde3876         Vardas3876          4.6            
Pavarde3877         Vardas3877          4.4            
Pavarde3878         Vardas3878          6.8            
Pavarde3879         Vardas3879          3.2            
Pavarde388          Vardas388           3.8            
Pavarde3880         Vardas3880          4.6            
Pavarde3881         Vardas3881          5.2            
Pavarde3882         Vardas3882          8.2            
Pavarde3883         Vardas3883          8.4            
Pavarde3884         Vardas3884          8.8            
Pavarde3885         Vardas3885          5.2            
Pavarde3886         Vardas3886          4.4            
Pavarde3887         Vardas3887          3              
Pavarde3888         Vardas3888          5              
Pavarde3889         Vardas3889          5.6            
Pavarde389          Vardas389           3.8            
Pavarde3890         Vardas3890          6.6            
Pavarde3891         Vardas3891          4              
Pavarde3892         Vardas3892          7.6            
Pavarde3893         Vardas3893          6.2            
Pavarde3894         Vardas3894          7.6            
Pavarde3895         Vardas3895          3.6            
Pavarde3896         Vardas3896          7              
Pavarde3897         Vardas3897          7              
Pavarde3898         Vardas3898          6.6            
Pavarde3899         Vardas3899          4.2            
Pavarde39           Vardas39            2.6            
Pavarde390          Vardas390           4.8            
Pavarde3900         Vardas3900          3.6            
Pavarde3901         Vardas3901          3.2            
Pavarde3902         Vardas3902          7.2            
Pavarde3903         Vardas3903          5.2            
Pavarde3904         Vardas3904          5              
Pavarde3905         Vardas3905          6              
Pavarde3906         Vardas3906          6.8            
Pavarde3907         Vardas3907          3              
Pavarde3908         Vardas3908          2.2            
Pavarde3909         Vardas3909          7.2            
Pavarde391          Vardas391           4.4            
Pavarde3910         Vardas3910          5.4            
Pavarde3911         Vardas3911          3.6            
Pavarde3912         Vardas3912          7.8            
Pavarde3913         Vardas3913          2.6            
Pavarde3914         Vardas3914          2.2            
Pavarde3915         Vardas3915          7.6            
